date_availability_produit,nom,reference,prix_ttc,Taxe,categorie,prix_achat
05/05/2026,T-Shirt Premium,P_01,"199,1","11,54%",Habillement,"116,55"
06/05/2026,Pantalon Cargo,P_02,"241,58","20,00%",Habillement,"143,37"
05/05/2026,Chaussures Running,P_03,"299,29","16,25%",Habillement,"180,65"
06/05/2026,Casquette Urban,P_04,"232,14","8,75%",Habillement,"154,6"
05/05/2026,Montre Connectée,P_05,"155,06","5,50%",Habillement,"85,49"
06/05/2026,Sac à Dos,P_06,"71,96","11,54%",Sport,"44,57"
05/05/2026,Écouteurs Bluetooth,P_07,"107,42","20,00%",Sport,"65,22"
06/05/2026,Lampe LED,P_08,"144,31","16,25%",Sport,"107,22"
06/05/2026,Portefeuille Cuir,P_20,"140,57","5,50%",Maison,"100,43"
05/05/2026,Enceinte Portable,P_21,"273,11","11,54%",Maison,"148,26"
06/05/2026,Powerbank FastCharge,P_22,"236,19","20,00%",Maison,"160,5"
05/05/2026,Coussin Déco,P_23,"187,66","16,25%",Maison,"123,56"
06/05/2026,Mug Thermique,P_24,"146,86","8,75%",Maison,"97,92"
